date,sku_id,category,sales_volume,unit_cost,lead_time_days
2024-01-01,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-01-02,SKU_101_CANNED_CHICKEN,Ambient Proteins,539.6,2.5,14
2024-01-03,SKU_101_CANNED_CHICKEN,Ambient Proteins,494.5,2.5,11
2024-01-04,SKU_101_CANNED_CHICKEN,Ambient Proteins,495.0,2.5,10
2024-01-05,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-01-06,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,9
2024-01-07,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,11
2024-01-08,SKU_101_CANNED_CHICKEN,Ambient Proteins,488.1,2.5,8
2024-01-09,SKU_101_CANNED_CHICKEN,Ambient Proteins,491.9,-2.5,13
2024-01-10,SKU_101_CANNED_CHICKEN,Ambient Proteins,659.3,2.5,13
2024-01-11,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,11
2024-01-12,SKU_101_CANNED_CHICKEN,Ambient Proteins,493.4,2.5,14
2024-01-13,SKU_101_CANNED_CHICKEN,Ambient Proteins,437.3,2.5,11
2024-01-14,SKU_101_CANNED_CHICKEN,Ambient Proteins,,-2.5,12
2024-01-15,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-01-16,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-01-17,SKU_101_CANNED_CHICKEN,Ambient Proteins,,-2.5,14
2024-01-18,SKU_101_CANNED_CHICKEN,Ambient Proteins,670.8,2.5,14
2024-01-19,SKU_101_CANNED_CHICKEN,Ambient Proteins,536.4,2.5,14
2024-01-20,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,9
2024-01-21,SKU_101_CANNED_CHICKEN,Ambient Proteins,457.8,2.5,11
2024-01-22,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,10
2024-01-23,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-01-24,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-01-25,SKU_101_CANNED_CHICKEN,Ambient Proteins,571.9,2.5,13
2024-01-26,SKU_101_CANNED_CHICKEN,Ambient Proteins,514.0,2.5,11
2024-01-27,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-01-28,SKU_101_CANNED_CHICKEN,Ambient Proteins,417.4,2.5,11
2024-01-29,SKU_101_CANNED_CHICKEN,Ambient Proteins,586.8,2.5,10
2024-01-30,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-01-31,SKU_101_CANNED_CHICKEN,Ambient Proteins,470.4,2.5,12
2024-02-01,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-02-02,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-02-03,SKU_101_CANNED_CHICKEN,Ambient Proteins,568.2,2.5,10
2024-02-04,SKU_101_CANNED_CHICKEN,Ambient Proteins,408.0,-2.5,12
2024-02-05,SKU_101_CANNED_CHICKEN,Ambient Proteins,450.4,2.5,14
2024-02-06,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-02-07,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,9
2024-02-08,SKU_101_CANNED_CHICKEN,Ambient Proteins,483.4,2.5,13
2024-02-09,SKU_101_CANNED_CHICKEN,Ambient Proteins,513.7,2.5,11
2024-02-10,SKU_101_CANNED_CHICKEN,Ambient Proteins,,-2.5,14
2024-02-11,SKU_101_CANNED_CHICKEN,Ambient Proteins,435.8,2.5,13
2024-02-12,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-02-13,SKU_101_CANNED_CHICKEN,Ambient Proteins,508.6,2.5,13
2024-02-14,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,11
2024-02-15,SKU_101_CANNED_CHICKEN,Ambient Proteins,591.7,2.5,11
2024-02-16,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-02-17,SKU_101_CANNED_CHICKEN,Ambient Proteins,408.1,2.5,11
2024-02-18,SKU_101_CANNED_CHICKEN,Ambient Proteins,444.1,2.5,12
2024-02-19,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,8
2024-02-20,SKU_101_CANNED_CHICKEN,Ambient Proteins,475.3,2.5,15
2024-02-21,SKU_101_CANNED_CHICKEN,Ambient Proteins,523.8,2.5,9
2024-02-22,SKU_101_CANNED_CHICKEN,Ambient Proteins,468.5,2.5,10
2024-02-23,SKU_101_CANNED_CHICKEN,Ambient Proteins,530.2,2.5,11
2024-02-24,SKU_101_CANNED_CHICKEN,Ambient Proteins,396.8,2.5,12
2024-02-25,SKU_101_CANNED_CHICKEN,Ambient Proteins,445.1,-2.5,12
2024-02-26,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,11
2024-02-27,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-02-28,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,10
2024-02-29,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-03-01,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-02,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,15
2024-03-03,SKU_101_CANNED_CHICKEN,Ambient Proteins,387.4,2.5,12
2024-03-04,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-05,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-06,SKU_101_CANNED_CHICKEN,Ambient Proteins,525.2,2.5,11
2024-03-07,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,10
2024-03-08,SKU_101_CANNED_CHICKEN,Ambient Proteins,552.9,2.5,10
2024-03-09,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-03-10,SKU_101_CANNED_CHICKEN,Ambient Proteins,408.3,2.5,10
2024-03-11,SKU_101_CANNED_CHICKEN,Ambient Proteins,506.0,2.5,13
2024-03-12,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,13
2024-03-13,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,17
2024-03-14,SKU_101_CANNED_CHICKEN,Ambient Proteins,507.7,2.5,12
2024-03-15,SKU_101_CANNED_CHICKEN,Ambient Proteins,449.2,2.5,14
2024-03-16,SKU_101_CANNED_CHICKEN,Ambient Proteins,480.0,2.5,10
2024-03-17,SKU_101_CANNED_CHICKEN,Ambient Proteins,451.0,2.5,14
2024-03-18,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-19,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,10
2024-03-20,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-21,SKU_101_CANNED_CHICKEN,Ambient Proteins,563.3,2.5,10
2024-03-22,SKU_101_CANNED_CHICKEN,Ambient Proteins,485.3,2.5,0
2024-03-23,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-24,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-03-25,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,12
2024-03-26,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,11
2024-03-27,SKU_101_CANNED_CHICKEN,Ambient Proteins,570.8,2.5,12
2024-03-28,SKU_101_CANNED_CHICKEN,Ambient Proteins,588.1,2.5,13
2024-03-29,SKU_101_CANNED_CHICKEN,Ambient Proteins,668.2,2.5,12
2024-03-30,SKU_101_CANNED_CHICKEN,Ambient Proteins,365.0,-2.5,12
2024-03-31,SKU_101_CANNED_CHICKEN,Ambient Proteins,,2.5,14
2024-04-01,SKU_101_CANNED_CHICKEN,Ambient Proteins,526.9,2.5,12
2024-04-02,SKU_101_CANNED_CHICKEN,Ambient Proteins,518.2,2.5,13
