date,sku_id,category,sales_volume,unit_cost,lead_time_days
2023-06-01,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1043.9,2.8,4
2023-06-02,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,812.1,2.8,4
2023-06-03,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,723.0,2.8,5
2023-06-04,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,812.9,2.8,4
2023-06-05,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,970.5,2.8,4
2023-06-06,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,876.6,2.8,4
2023-06-07,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,904.0,2.8,4
2023-06-08,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,810.6,2.8,4
2023-06-09,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,978.3,2.8,4
2023-06-10,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,803.6,2.8,3
2023-06-11,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,753.7,2.8,3
2023-06-12,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,936.0,2.8,3
2023-06-13,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,940.8,2.8,4
2023-06-14,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,851.1,2.8,4
2023-06-15,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,950.8,2.8,4
2023-06-16,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,947.5,2.8,4
2023-06-17,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,836.2,2.8,4
2023-06-18,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,734.0,2.8,4
2023-06-19,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,942.4,2.8,4
2023-06-20,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,971.6,2.8,3
2023-06-21,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,852.0,2.8,4
2023-06-22,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,927.1,2.8,5
2023-06-23,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1001.6,2.8,4
2023-06-24,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,755.2,2.8,4
2023-06-25,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,774.2,2.8,4
2023-06-26,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1015.6,2.8,5
2023-06-27,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,895.3,2.8,3
2023-06-28,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,908.0,2.8,3
2023-06-29,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1013.4,2.8,4
2023-06-30,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1133.7,2.8,3
2023-07-01,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,875.5,2.8,4
2023-07-02,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,732.1,2.8,4
2023-07-03,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,963.8,2.8,3
2023-07-04,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,996.4,2.8,4
2023-07-05,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1090.0,2.8,4
2023-07-06,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,886.8,2.8,4
2023-07-07,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,881.3,2.8,4
2023-07-08,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,780.9,2.8,3
2023-07-09,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,844.3,2.8,4
2023-07-10,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,1037.5,2.8,4
2023-07-11,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,955.4,2.8,5
2023-07-12,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,930.4,2.8,3
2023-07-13,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,947.1,2.8,3
2023-07-14,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,936.6,2.8,5
2023-07-15,SKU_501_ORGANIC_MILK_1L,Chilled Dairy,650.2,2.8,4
