date,sku_id,category,sales_volume,unit_cost,lead_time_days
2023-01-01,SKU_101_CANNED_CHICKEN,Ambient Proteins,527.0,2.5,12
2023-01-01,SKU_102_PEANUT_BUTTER,Ambient Grocery,791.0,3.2,10
2023-01-01,SKU_103_WHITE_RICE_5KG,Ambient Grocery,1314.0,5.5,18
2023-01-01,SKU_104_CANNED_BEANS,Ambient Grocery,659.0,1.1,13
2023-01-01,SKU_105_PASTA_500G,Ambient Grocery,1493.0,1.5,11
2023-01-01,SKU_201_BBQ_SAUCE,Condiments,33.0,2.8,8
2023-01-01,SKU_202_HOT_DOGS_8PK,Chilled Proteins,0.0,4.5,5
2023-01-01,SKU_203_CHARCOAL_BAG,Outdoor/Seasonal,0.0,8.99,26
2023-01-01,SKU_204_LEMONADE_MIX,Beverages,0.0,3.0,11
2023-01-01,SKU_205_SUNSCREEN_SPF50,Health & Beauty,0.0,9.5,19
2023-01-01,SKU_301_WHOLE_TURKEY,Frozen Proteins,491.0,22.0,36
2023-01-01,SKU_302_CRANBERRY_SAUCE,Ambient Grocery,278.0,1.8,17
2023-01-01,SKU_303_BAKING_CHOCOLATE,Baking Needs,213.0,4.2,11
2023-01-01,SKU_304_EGGNOG_1L,Chilled Dairy,386.0,3.5,3
2023-01-01,SKU_305_GIFT_CHOCOLATE_BOX,Confectionery,511.0,15.0,19
2023-01-01,SKU_401_SPICY_SNACK_MIX,Snacks,268.0,1.75,7
2023-01-01,SKU_402_PROTEIN_BAR_VANILLA,Health & Beauty,338.0,2.1,21
2023-01-01,SKU_403_ENERGY_DRINK_BERRY,Beverages,627.0,1.5,8
2023-01-01,SKU_404_KETO_CRACKERS,Snacks,187.0,4.0,12
2023-01-01,SKU_405_LIMITED_EDITION_CHIPS,Snacks,254.0,1.99,8
2023-01-02,SKU_101_CANNED_CHICKEN,Ambient Proteins,518.0,2.5,14
2023-01-02,SKU_102_PEANUT_BUTTER,Ambient Grocery,798.0,3.2,9
2023-01-02,SKU_103_WHITE_RICE_5KG,Ambient Grocery,1239.0,5.5,19
2023-01-02,SKU_104_CANNED_BEANS,Ambient Grocery,606.0,1.1,14
2023-01-02,SKU_105_PASTA_500G,Ambient Grocery,1530.0,1.5,11
2023-01-02,SKU_201_BBQ_SAUCE,Condiments,0.0,2.8,7
2023-01-02,SKU_202_HOT_DOGS_8PK,Chilled Proteins,63.0,4.5,5
